語                初出t 初出者  使用者数  使用者（生存最終t）
仮説                 5 A2      6  A1,A2,A3,A4,A5,A6 (t21)
ランダム変動説            5 A6      5  A1,A3,A4,A5,A6 (t13)
上限クランプ説           19 A3      5  A1,A2,A3,A4,A6 (t30)
という仮説              4 A2      3  A2,A3,A6 (t9)
が支配的という仮説          5 A5      3  A2,A5,A6 (t7)
0上限クランプ説          20 A1      3  A1,A4,A6 (t25)
0クランプ説            22 A5      3  A2,A3,A5 (t25)
0固定説              29 A2      3  A1,A2,A6 (t30)
1頭打ち仮説            12 A3      2  A3,A5 (t13)
1頭打ち説             12 A6      2  A4,A6 (t13)
0上限説              18 A3      2  A3,A6 (t18)
1固定回復説            23 A4      2  A4,A5 (t30)
0で上限クランプ説         30 A2      2  A2,A4 (t30)
