語                初出t 初出者  使用者数  使用者（生存最終t）
仮説                 6 ミナ      6  ケイ,サト,ハル,ミナ,ユキ,リン (t18)
ト説                 7 リン      6  ケイ,サト,ハル,ミナ,ユキ,リン (t30)
個体固定キャップ説         23 ケイ      5  ケイ,サト,ハル,ミナ,ユキ (t30)
という仮説              4 ユキ      3  ハル,ユキ,リン (t11)
ト型個体説             15 ハル      3  サト,ハル,ユキ (t17)
reakリセット説         15 ハル      3  サト,ハル,ミナ (t15)
キャップ説             18 サト      3  ケイ,サト,ミナ (t22)
イさんの単調増加説         18 サト      3  サト,ハル,ユキ (t21)
rest後回復量           3 ケイ      2  ケイ,サト (t4)
この仮説               5 ミナ      2  ハル,ミナ (t12)
0仮説               15 リン      2  ハル,リン (t16)
さんのオフセット説         16 ミナ      2  ハル,ミナ (t17)
体固定値キャップ説         22 ハル      2  サト,ハル (t23)
さんの無制限上昇説         25 ケイ      2  ケイ,サト (t26)
